experimento,camada_1,camada_2,threshold,fracao_llm,classic_accuracy,llm_accuracy,hybrid_accuracy,classic_f1,llm_f1,hybrid_f1
rf_bert_base,rf,bert_base,0.7,0.2705,0.8565,0.8765,0.878,0.8564810196148441,0.8763924305126536,0.877940923406929
rf_bert_large,rf,bert_large,0.7,0.2705,0.8565,0.8665,0.874,0.8564810196148441,0.865942286396983,0.8737773432334639
svm_bert_base,svm,bert_base,0.7,0.1455,0.866,0.8765,0.876,0.866,0.8763924305126536,0.8759849941842963
svm_bert_large,svm,bert_large,0.7,0.1455,0.866,0.8665,0.8805,0.866,0.865942286396983,0.880422244564528
